ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,STATE_HWY_IND,STATE_ROUTE,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PCF_VIOL_CATEGORY,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,SANDAG_CASE_ID,LATITUDE_sandag,LONGITUDE_sandag,X,Y,Location_sandag,Reservation_sandag,Shape
2014,0,0.023611111,Thursday,UNIVERSITY AV,UNIVERSITY AV 4500,8,South,Not Intersection,Not State Highway,NULL,NULL,No State Highway,Not Stated,Injury (Other Visible),0,1,2,Improper Turning,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Daylight,None,0,FALSE,TRUE,FALSE,FALSE,TRUE,Bicycle,0,1,0,0,0,0,1,0,0,65395582014,32.74782936,-117.0751057,6307973.152,1852877.449,San Diego,Not Reservation Land,0xB6080000010C20F3B9492110584180BFE172CD453C41
2015,0,0.024305556,Wednesday,ASH ST,VALLEY PKWY,440,North,Not Intersection,State Highway,78,19.19,Highway,Not Stated,Injury (Complaint of Pain),0,1,2,Automobile Right-Of-Way,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Daylight,None,0,FALSE,TRUE,FALSE,FALSE,TRUE,Bicycle,0,0,1,0,0,0,1,0,0,68815542015,33.12433728,-117.063236,6312691.144,1989836.245,Escondido,Not Reservation Land,0xB6080000010CF0792FC9BC1458414007A63ECC5C3E41
2015,0,0.013888889,Saturday,GARNET AV,GARNET AV 1200,0,"Not Stated, in intersection",Not stated,Not State Highway,NULL,NULL,No State Highway,Not Stated,Injury (Complaint of Pain),0,1,3,Wrong Side Of Road,Misdemeanor,Head-On,Bicycle,No Pedestrian Involved,Dry,Other,Daylight,None,0,FALSE,TRUE,FALSE,FALSE,TRUE,Bicycle,0,0,1,0,0,0,1,0,0,69897392015,32.79818305,-117.2479731,6254998.06,1871662.295,San Diego,Not Reservation Land,0xB6080000010CC0E4DD8365DC5741409C724B2E8F3C41
2015,0,0.015277778,Saturday,SOUTH COAST HWY,WEST G STREET,0,"Not Stated, in intersection",Not Intersection,Not State Highway,NULL,NULL,No State Highway,Not Stated,Injury (Complaint of Pain),0,1,2,Other Hazardous Violation,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Daylight,None,0,FALSE,TRUE,FALSE,FALSE,TRUE,Bicycle,0,0,1,0,0,0,1,0,0,70185202015,33.042054,-117.293326,6241949.661,1960526.078,Encinitas,Not Reservation Land,0xB6080000010C000A536AA7CF574140E0DE134EEA3D41
2015,0,0.015972222,Friday,ENCINITAS BL,ENCINITAS BL 135,0,"Not Stated, in intersection",Not Intersection,Not State Highway,NULL,NULL,No State Highway,Not Stated,Injury (Other Visible),0,1,2,Driving Or Bicycling Under Influence Of Alcohol Or Drug,Not Hit and Run,Other,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Dark - Street Lights,Functioning,0,FALSE,TRUE,FALSE,FALSE,TRUE,Bicycle,0,1,0,0,0,0,1,0,0,70752212015,33.048539,-117.289299,6243207.188,1962873.2,Encinitas,Not Reservation Land,0xB6080000010C903C08CCE1D0574100BE413379F33D41
2015,0,0.023611111,Friday,PARK BL,PARK BL 1400,0,"Not Stated, in intersection",Not stated,Not State Highway,NULL,NULL,No State Highway,Not Stated,Injury (Complaint of Pain),0,1,2,Automobile Right-Of-Way,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,Construction or Repair Zone,Dark - Street Lights,Functioning,0,FALSE,TRUE,FALSE,FALSE,TRUE,NULL,0,0,1,0,0,0,1,0,0,71090432015,32.72026306,-117.1539134,6283655.602,1843048.83,San Diego,Not Reservation Land,0xB6080000010CA0D084E661F85741407478D4681F3C41
2015,0,0.034722222,Wednesday,RT 76,FRAZEE,871,East,Not Intersection,State Highway,76,5.78,Highway,Not Stated,Fatal,1,0,2,Driving Or Bicycling Under Influence Of Alcohol Or Drug,Not Hit and Run,Head-On,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Dark - Street Lights,None,0,FALSE,TRUE,FALSE,FALSE,TRUE,Bicycle,0,0,0,0,0,1,0,0,0,71996392015,33.24088498,-117.2962277,6241786.401,2032876.555,Oceanside,Not Reservation Land,0xB6080000010CC000A7997ECF57410039128EEC043F41
2016,0,0.027777778,Monday,EL CAJON BL,RT 5,0,"Not Stated, in intersection",Intersection,State Highway,15,5.15,Ramp (or Collector),"Ramp Exit, Last 50 Feet",Injury (Other Visible),0,1,2,Pedestrian Violation,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Dark - Street Lights,Functioning,0,FALSE,TRUE,FALSE,FALSE,TRUE,Bicycle,0,1,0,0,0,0,1,0,0,71879852016,32.75688817,-117.1089718,6297587.652,1856257.446,San Diego,Not Reservation Land,0xB6080000010CE09DBBE9FC055841C03D3E7201533C41
2016,0,0.038194444,Wednesday,CAMINO DE LOS COCHES,RANCHO SANTA FE RD,10,West,Not Intersection,Not State Highway,NULL,NULL,No State Highway,Not Stated,Injury (Other Visible),0,1,2,Automobile Right-Of-Way,Felony,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Daylight,Functioning,0,FALSE,TRUE,FALSE,FALSE,TRUE,NULL,0,1,0,0,0,0,1,0,0,81057732016,33.07633019,-117.2394613,6258574,1972836,Carlsbad,Not Reservation Land,0xB6080000010CF0E90180E3DF5741802CF6FF631A3E41
2016,0,0.038194444,Sunday,HIBERT ST,TREENA ST,65,North,Not Intersection,Not State Highway,NULL,NULL,No State Highway,Not Stated,Injury (Other Visible),0,1,2,Unsafe Speed,Not Hit and Run,Broadside,Bicycle,No Pedestrian Involved,Dry,No Unusual Condition,Daylight,None,0,FALSE,TRUE,FALSE,FALSE,TRUE,Bicycle,0,1,0,0,0,0,1,0,0,81312792016,32.91384176,-117.1138926,6296548,1913375,San Diego,Not Reservation Land,0xB6080000010CB047FFFFF8045841006300001F323D41
